text,replyToSN,screenName,retweetCount,isRetweet
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,craig53127128,4911,TRUE
"RT @KVajpayaee: #Katyayan #IndianAmericans #DemocraticParty #JoeBiden
#JoeBidenKamalaHarris2020 #TrumpIsALoser #TrumpLied200KDied #ModiLies…",,MSpadine,1,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,ssc153,3881,TRUE
Weird more corruption connected to #joebiden!! 🤯🤢🤢🤢 https://t.co/AdUVLXOQLm,,Myst4,0,FALSE
"RT @JosieSephora: #DJT was “evasive, defensive &amp; combative... He declined to disavow QAnon conspiracy theory.”

#JoeBiden is “trying to bri…",,_Unionistparty,2,TRUE
"RT @deutsch365: ❌❌🇺🇸🇺🇸 #JoeBiden sagt, Polizisten sollten Vorfälle mit gewalttätigen Verdächtigen ""deeskalieren"", indem sie ""ihnen ins Bein…",,nunjadie,2,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Ciastko_,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,RosemarieBrown3,4911,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Sharry16342143,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,vikkiking,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,CeeBaloo,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,MailinThomas,3881,TRUE
RT @derekjames150: #JoeBiden is all about EQUALITY. #DonaldTrump is all about  DIVISION. #JoeBiden is all about OPPORTUNITY. #DonaldTrump i…,,mcleod_robert,3,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,riggerx,3881,TRUE
Always interesting to see where #Twitter censorship strikes next. They really are working overtime for #JoeBiden https://t.co/NNNLMzPP2r,,alkanomega,0,FALSE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,golfndadblogger,4911,TRUE
"RT @sjs856: Lift Every Voice: Why Black People Should Vote For Joe Biden and Kamala Harris

@SymoneDSanders 

#DrewComments #BidenHarris202…",,geektify,645,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,momster_s,3881,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,TheMarcusEly,201,TRUE
"RT @AuroraBlogspot: #FBPE, #facciamorete and #FBR are having a twitter storm on Friday the 16th of October in support of #JoeBiden. 

Time:…",,magiecarew,125,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,N4CeeJayUU,4911,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,trkdrvnmama,4911,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,Brae_Andrews,201,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,skipz,3881,TRUE
"""It's a beautiful day in the neighborhood""

#MrRogers is trending #1 thanks to a good, empathetic, kind man #JoeBiden",,CoffeeForever5,0,FALSE
RT @tom_paints: Imagine thinking Mr. Rogers is an insult.  It's a beautiful day to vote for Biden. #JoeBiden #Election2020 https://t.co/n1q…,,_Queenofswords,103,TRUE
