text,replyToSN,screenName,retweetCount,isRetweet
"RT @mikandynothem: BREAKING!
Steve Scully indeed lied about Twitter account being hacked!
Is anyone with a brain really surprised? 
#Crooke…",,moutus84,1473,TRUE
"RT @DonaldJTrumpJr: 🚨TODAY🚨 

I am in Arizona today campaigning, but it’s the last day to register to vote for AZ residents. If you love yo…",,KyMoDude,2696,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Devid58066495,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,JamesCoulmanHC,24415,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,Loie98701698,4552,TRUE
RT @RageRedpill: My first #maga hat ever!!! 🧢 @realDonaldTrump @VP #getonthetrain #KAG2020 #KAG https://t.co/NG1GUDmCd3,,Kimkimmel5,4578,TRUE
"RT @mikandynothem: The wall is crumbling...
#CrookedJoeBiden
#JoeBidenUkraineScandal
#MAGA #FoxNews https://t.co/cIkYRWgtx8",,Sembrouthes,1784,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,1grn_eyez,24,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,HBaPXl1oTul9iag,24415,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,RunHideAvoid,1962,TRUE
RT @realDonaldTrump: THANK YOU IOWA! #MAGA https://t.co/cD5CaGu1cr,,AdizEnrique,12614,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,JayBroemmeling7,24415,TRUE
